Trial,N,Repeat,Elapsed,Bandwidth_GBps
1,32,312500,0.003238,74.11
2,32,312500,0.003247,73.91
3,32,312500,0.003241,74.06
4,32,312500,0.003237,74.15
5,32,312500,0.003258,73.66
6,32,312500,0.003236,74.16
7,32,312500,0.003239,74.11
8,32,312500,0.003239,74.10
9,32,312500,0.003237,74.15
10,32,312500,0.003239,74.09
1,48,208333,0.003149,76.21
2,48,208333,0.003143,76.35
3,48,208333,0.003148,76.25
4,48,208333,0.003148,76.24
5,48,208333,0.003149,76.22
6,48,208333,0.003148,76.23
7,48,208333,0.003148,76.25
8,48,208333,0.003147,76.26
9,48,208333,0.003146,76.30
10,48,208333,0.003147,76.26
1,64,156250,0.003106,77.26
2,64,156250,0.003102,77.37
3,64,156250,0.003100,77.42
4,64,156250,0.003101,77.39
5,64,156250,0.003105,77.29
6,64,156250,0.003104,77.32
7,64,156250,0.003102,77.38
8,64,156250,0.003127,76.75
9,64,156250,0.004049,59.28
10,64,156250,0.004056,59.17
1,96,104166,0.003699,64.88
2,96,104166,0.003058,78.49
3,96,104166,0.003057,78.50
4,96,104166,0.003059,78.46
5,96,104166,0.003030,79.22
6,96,104166,0.003905,61.46
7,96,104166,0.003958,60.64
8,96,104166,0.003752,63.96
9,96,104166,0.003059,78.46
10,96,104166,0.003058,78.47
1,128,78125,0.003035,79.08
2,128,78125,0.003020,79.46
3,128,78125,0.003034,79.11
4,128,78125,0.003010,79.72
5,128,78125,0.003031,79.18
6,128,78125,0.003043,78.88
7,128,78125,0.003036,79.04
8,128,78125,0.003035,79.07
9,128,78125,0.003034,79.11
10,128,78125,0.003034,79.10
1,192,52083,0.002961,81.06
2,192,52083,0.003303,72.67
3,192,52083,0.003877,61.90
4,192,52083,0.003880,61.86
5,192,52083,0.003875,61.93
6,192,52083,0.003800,63.16
7,192,52083,0.002968,80.86
8,192,52083,0.002966,80.93
9,192,52083,0.002967,80.89
10,192,52083,0.002968,80.86
1,256,39062,0.003434,69.89
2,256,39062,0.003414,70.29
3,256,39062,0.003368,71.26
4,256,39062,0.003395,70.69
5,256,39062,0.003387,70.85
6,256,39062,0.003436,69.86
7,256,39062,0.003372,71.18
8,256,39062,0.003397,70.65
9,256,39062,0.003417,70.23
10,256,39062,0.003400,70.59
1,384,26041,0.003229,74.32
2,384,26041,0.003212,74.73
3,384,26041,0.003220,74.54
4,384,26041,0.003219,74.54
5,384,26041,0.003230,74.30
6,384,26041,0.003212,74.71
7,384,26041,0.003207,74.84
8,384,26041,0.003232,74.25
9,384,26041,0.003222,74.49
10,384,26041,0.003221,74.51
1,512,19531,0.003141,76.41
2,512,19531,0.003140,76.44
3,512,19531,0.003142,76.37
4,512,19531,0.003135,76.55
5,512,19531,0.003139,76.45
6,512,19531,0.003138,76.49
7,512,19531,0.003142,76.39
8,512,19531,0.003136,76.53
9,512,19531,0.003140,76.44
10,512,19531,0.003138,76.49
1,768,13020,0.003073,78.10
2,768,13020,0.003084,77.82
3,768,13020,0.003076,78.03
4,768,13020,0.003072,78.13
5,768,13020,0.003075,78.04
6,768,13020,0.003075,78.03
7,768,13020,0.003074,78.08
8,768,13020,0.003080,77.92
9,768,13020,0.003077,78.01
10,768,13020,0.003073,78.08
1,1024,9765,0.003042,78.88
2,1024,9765,0.003045,78.81
3,1024,9765,0.003043,78.88
4,1024,9765,0.003046,78.80
5,1024,9765,0.003042,78.88
6,1024,9765,0.003041,78.91
7,1024,9765,0.003043,78.86
8,1024,9765,0.003044,78.83
9,1024,9765,0.003048,78.73
10,1024,9765,0.003045,78.82
1,1536,6510,0.003010,79.72
2,1536,6510,0.003012,79.68
3,1536,6510,0.003013,79.66
4,1536,6510,0.003017,79.55
5,1536,6510,0.003012,79.66
6,1536,6510,0.003012,79.66
7,1536,6510,0.003014,79.63
8,1536,6510,0.003019,79.50
9,1536,6510,0.003014,79.62
10,1536,6510,0.003012,79.66
1,2048,4882,0.002998,80.05
2,2048,4882,0.002997,80.08
3,2048,4882,0.002997,80.06
4,2048,4882,0.002998,80.04
5,2048,4882,0.002995,80.11
6,2048,4882,0.002995,80.12
7,2048,4882,0.002994,80.14
8,2048,4882,0.002996,80.08
9,2048,4882,0.003010,79.71
10,2048,4882,0.002995,80.13
1,3072,3255,0.002982,80.49
2,3072,3255,0.002981,80.50
3,3072,3255,0.002981,80.52
4,3072,3255,0.002983,80.46
5,3072,3255,0.002983,80.46
6,3072,3255,0.002981,80.50
7,3072,3255,0.002984,80.41
8,3072,3255,0.002981,80.49
9,3072,3255,0.002982,80.49
10,3072,3255,0.002981,80.51
1,4096,2441,0.003561,67.39
2,4096,2441,0.003549,67.60
3,4096,2441,0.003554,67.53
4,4096,2441,0.003546,67.68
5,4096,2441,0.003553,67.54
6,4096,2441,0.003544,67.70
7,4096,2441,0.003548,67.64
8,4096,2441,0.003550,67.59
9,4096,2441,0.003544,67.70
10,4096,2441,0.003549,67.60
1,6144,1627,0.003834,62.57
2,6144,1627,0.003830,62.64
3,6144,1627,0.003833,62.59
4,6144,1627,0.003834,62.57
5,6144,1627,0.003832,62.60
6,6144,1627,0.003832,62.61
7,6144,1627,0.003832,62.61
8,6144,1627,0.003834,62.58
9,6144,1627,0.003831,62.63
10,6144,1627,0.003832,62.62
1,8192,1220,0.003848,62.34
2,8192,1220,0.003846,62.36
3,8192,1220,0.003850,62.31
4,8192,1220,0.003846,62.37
5,8192,1220,0.003848,62.33
6,8192,1220,0.003850,62.31
7,8192,1220,0.003849,62.31
8,8192,1220,0.003848,62.34
9,8192,1220,0.003847,62.35
10,8192,1220,0.003849,62.32
1,12288,813,0.003845,62.35
2,12288,813,0.003839,62.45
3,12288,813,0.003841,62.42
4,12288,813,0.003843,62.39
5,12288,813,0.003844,62.37
6,12288,813,0.003841,62.42
7,12288,813,0.003845,62.36
8,12288,813,0.003839,62.45
9,12288,813,0.003844,62.37
10,12288,813,0.003839,62.46
1,16384,610,0.003756,63.86
2,16384,610,0.003846,62.36
3,16384,610,0.003895,61.58
4,16384,610,0.003901,61.49
5,16384,610,0.003859,62.16
6,16384,610,0.003851,62.28
7,16384,610,0.003848,62.33
8,16384,610,0.003845,62.38
9,16384,610,0.003840,62.47
10,16384,610,0.003844,62.39
1,24576,406,0.003867,61.93
2,24576,406,0.003841,62.34
3,24576,406,0.003892,61.53
4,24576,406,0.003891,61.54
5,24576,406,0.003893,61.51
6,24576,406,0.003894,61.50
7,24576,406,0.003887,61.61
8,24576,406,0.005216,45.91
9,24576,406,0.004744,50.48
10,24576,406,0.003842,62.32
1,32768,305,0.003877,61.87
2,32768,305,0.003892,61.63
3,32768,305,0.003897,61.55
4,32768,305,0.003890,61.66
5,32768,305,0.003900,61.51
6,32768,305,0.003901,61.48
7,32768,305,0.003894,61.59
8,32768,305,0.003895,61.58
9,32768,305,0.003895,61.58
10,32768,305,0.003889,61.67
1,49152,203,0.003847,62.25
2,49152,203,0.003875,61.79
3,49152,203,0.003873,61.83
4,49152,203,0.003879,61.74
5,49152,203,0.003877,61.77
6,49152,203,0.003874,61.81
7,49152,203,0.003871,61.86
8,49152,203,0.003878,61.75
9,49152,203,0.003881,61.71
10,49152,203,0.003875,61.81
1,65536,152,0.003839,62.27
2,65536,152,0.003868,61.81
3,65536,152,0.003860,61.94
4,65536,152,0.003862,61.91
5,65536,152,0.003869,61.80
6,65536,152,0.003861,61.91
7,65536,152,0.003869,61.80
8,65536,152,0.003866,61.84
9,65536,152,0.004085,58.52
10,65536,152,0.004072,58.71
1,98304,101,0.004379,54.41
2,98304,101,0.004372,54.51
3,98304,101,0.004374,54.48
4,98304,101,0.004381,54.40
5,98304,101,0.004366,54.58
6,98304,101,0.004296,55.47
7,98304,101,0.004137,57.59
8,98304,101,0.004149,57.44
9,98304,101,0.004139,57.57
10,98304,101,0.004141,57.54
1,131072,76,0.004270,55.99
2,131072,76,0.004188,57.08
3,131072,76,0.004181,57.18
4,131072,76,0.004198,56.95
5,131072,76,0.004190,57.06
6,131072,76,0.004166,57.39
7,131072,76,0.004195,57.00
8,131072,76,0.004185,57.13
9,131072,76,0.004198,56.95
10,131072,76,0.004190,57.06
1,196608,50,0.005398,43.71
2,196608,50,0.004931,47.85
3,196608,50,0.004910,48.05
4,196608,50,0.004921,47.95
5,196608,50,0.004915,48.01
6,196608,50,0.005010,47.09
7,196608,50,0.004920,47.96
8,196608,50,0.004912,48.03
9,196608,50,0.004921,47.95
10,196608,50,0.004909,48.06
1,262144,38,0.006007,39.80
2,262144,38,0.005149,46.43
3,262144,38,0.005155,46.38
4,262144,38,0.005162,46.31
5,262144,38,0.005147,46.45
6,262144,38,0.005153,46.40
7,262144,38,0.005145,46.47
8,262144,38,0.005144,46.48
9,262144,38,0.005153,46.40
10,262144,38,0.005148,46.44
1,393216,25,0.006421,36.74
2,393216,25,0.005092,46.34
3,393216,25,0.005092,46.33
4,393216,25,0.005094,46.31
5,393216,25,0.005088,46.37
6,393216,25,0.005093,46.32
7,393216,25,0.005088,46.37
8,393216,25,0.005110,46.17
9,393216,25,0.005090,46.35
10,393216,25,0.005089,46.36
1,524288,19,0.006406,37.32
2,524288,19,0.005160,46.33
3,524288,19,0.005156,46.37
4,524288,19,0.005152,46.40
5,524288,19,0.005159,46.35
6,524288,19,0.005154,46.39
