Trial,N,Repeat,Elapsed,Bandwidth_GBps,Dot_Result
1,32,312500,0.006069,26.36,2242092.00
2,32,312500,0.006041,26.49,2348602.95
3,32,312500,0.005899,27.12,2334389.93
4,32,312500,0.005951,26.88,2500536.55
5,32,312500,0.005913,27.06,2449003.34
6,32,312500,0.006108,26.19,2948658.44
7,32,312500,0.006114,26.17,2223808.92
8,32,312500,0.005903,27.11,2332470.43
9,32,312500,0.005896,27.14,2740096.38
10,32,312500,0.005967,26.81,2465335.57
1,48,208333,0.005928,26.99,2633887.94
2,48,208333,0.005895,27.14,1878814.36
3,48,208333,0.005896,27.14,2962066.30
4,48,208333,0.005980,26.76,3100076.04
5,48,208333,0.005896,27.14,2056066.17
6,48,208333,0.006073,26.35,2715041.78
7,48,208333,0.006463,24.76,2832524.89
8,48,208333,0.006255,25.58,2467857.19
9,48,208333,0.005986,26.73,2925362.44
10,48,208333,0.005925,27.00,2354718.84
1,64,156250,0.005898,27.13,2827602.69
2,64,156250,0.005936,26.96,2358062.33
3,64,156250,0.005946,26.91,2324011.32
4,64,156250,0.005936,26.95,2000426.62
5,64,156250,0.005899,27.12,2659389.09
6,64,156250,0.005925,27.00,2612495.69
7,64,156250,0.005946,26.91,2482449.61
8,64,156250,0.005932,26.97,1970986.11
9,64,156250,0.005900,27.12,2364461.99
10,64,156250,0.006085,26.30,2665333.36
1,96,104166,0.005914,27.06,2682502.67
2,96,104166,0.005924,27.01,2399956.43
3,96,104166,0.005921,27.02,2260316.24
4,96,104166,0.005924,27.01,2317024.89
5,96,104166,0.005912,27.06,2242382.33
6,96,104166,0.005928,26.99,2162362.18
7,96,104166,0.005933,26.97,2592603.03
8,96,104166,0.005908,27.08,2514997.91
9,96,104166,0.006052,26.44,2417597.04
10,96,104166,0.005898,27.13,2236614.27
1,128,78125,0.005908,27.08,2614500.29
2,128,78125,0.006026,26.55,2158700.94
3,128,78125,0.005926,27.00,2569816.42
4,128,78125,0.005913,27.06,2685698.46
5,128,78125,0.005914,27.06,2439556.66
6,128,78125,0.005906,27.09,2328285.86
7,128,78125,0.005926,27.00,2316683.20
8,128,78125,0.006044,26.47,2368632.85
9,128,78125,0.005902,27.11,2562018.44
10,128,78125,0.006057,26.42,2356849.85
1,192,52083,0.006143,26.04,2277659.56
2,192,52083,0.006310,25.36,2422652.75
3,192,52083,0.006009,26.63,2676784.72
4,192,52083,0.006076,26.33,2624952.74
5,192,52083,0.006106,26.20,2535802.84
6,192,52083,0.005935,26.96,2665213.25
7,192,52083,0.006122,26.13,2463542.07
8,192,52083,0.006107,26.20,2588886.11
9,192,52083,0.006212,25.76,2407345.23
10,192,52083,0.005902,27.11,2478885.61
1,256,39062,0.006197,25.82,2301263.15
