N,instructions,cycles,cache-misses,cache-references,LLC-loads,LLC-load-misses
1000,80986263269,34107425976,70475888,103829038,75498587,47877942
1500,80807955861,33916100648,70369094,104029750,75952589,47902678
2000,80972161825,33894255445,70389868,104050586,76323958,48179558
3000,80812108172,34340521987,70654571,104156647,75901185,47839144
4000,80808705050,34305762975,70244343,103694537,76300969,48183453
5000,80814108547,34177648186,70311582,104192855,76203420,47944435
6000,80818139004,33355086833,68008426,103819867,75619827,45409625
8000,80806275869,34071241370,71310070,103843340,75992910,48985563
10000,85124494611,35685908435,70143998,103318557,75735070,47913175
15000,80805849667,34090955545,70033043,103441045,76025225,47908498
20000,80976296255,34680159002,70243016,103928914,75433726,47503212
25000,80811017672,34874896038,70223598,103883808,74968848,47175022
30000,80813954433,35359352086,70125418,103877149,75841882,47701433
35000,80982043114,34828206049,70234131,104385339,75416078,47190984
40000,80982071628,34883412461,69906502,104361214,75667870,47214780
50000,80983489366,34031764612,67692558,103926022,75290977,44938303
60000,80981761933,35044884186,66268336,103914534,76442286,44502395
75000,81152003753,35119820868,70351797,103860375,75339630,47629457
90000,80984299423,34513780811,69263543,104363310,75580725,46275706
100000,80815551762,34667814744,69042521,102671115,75965933,47575544
110000,80809788261,34826117236,70191474,103286995,75348792,47685938
120000,80813099123,33811429758,66488139,103502075,75396517,44160363
130000,80811203330,34667583407,69968825,103932908,75369482,47223913
140000,80808762033,35128341400,69399866,103099228,75049532,46869238
150000,80805510008,34553913791,68697677,102455913,76351214,47675497
160000,81149128080,34946371253,70335489,104429490,75789981,47679368
170000,80808331867,33820363629,70193200,103908956,75734425,47587604
180000,80803218901,34260063721,69638946,104217648,76033888,47184974
190000,80812307071,34029786267,70660208,104071382,76065460,48125776
200000,80979556423,34224081618,70412412,103745140,75904499,47937248
230000,80978777150,34092157682,69688559,103212532,75885591,47669024
270000,80811744286,33512402114,69213424,104008823,75812867,46742732
290000,80806191783,34265212206,70457938,103756392,76338275,48355724
300000,80975343747,34142614731,70951688,104143752,75875572,48240240
325000,80808711635,34218199664,70020164,103586102,75588192,47609426
350000,80811836616,34123047392,70185653,103585764,75928832,47911387
375000,80811195572,34124413436,70069722,104160783,76291685,47733830
400000,80810976970,34266593829,70831992,104198619,76307883,48562440
410000,80817070582,34158603381,70293149,103645356,76217007,48191207
425000,80809838892,33993110535,70731111,104335645,75145290,47463690
430000,80807269545,33676905600,67348216,104143714,75719121,44673830
450000,80803684185,33434752723,67825659,103744355,75598446,45336495
475000,80811749403,33492552198,67641098,103876602,76098494,45491705
500000,80815700938,33096861338,67806318,104244314,75649119,44794686
525000,80812464467,34785467139,69860413,104367096,76265914,47627411
540000,80809327037,33591959389,68070527,103638283,75880020,45868525
575000,80811729841,34110899869,70347035,103683525,75747645,47947228
590000,80977701995,33824518402,68879852,104051158,75485527,46010184
600000,80806414524,33163030203,67879166,103708276,76039505,45839252
610000,80806680428,33702171716,70447457,103770096,75949218,48019469
625000,80809057156,34335154266,70416881,103682072,76147628,48174513
650000,80804276956,34220174147,70788653,103758219,76029526,48509220
675000,80812070351,33658382961,68402649,103961974,75882924,45964182
750000,80808399677,34370456502,70243586,103478843,75701394,48031591
800000,80807162580,35510064456,70928846,104271107,74516265,46959849
850000,80814262826,34173869636,70728694,103514148,75685957,48215374
900000,80808074131,33804769868,70489522,103843625,73860112,46405951
925000,80810235854,34317775829,70656775,103769013,75823802,48247582
950000,80809691616,33434386430,68882155,103685959,75721582,46483065
975000,80808098768,34147774523,70495646,103830602,75977713,48000321
1000000,80814633162,33922534430,70843637,104176231,75734226,48094587
5000000,80806667833,33570413216,66628349,104088598,76252499,44481676
10000000,80809224975,33961334540,69330437,103883061,75055251,46201174
15000000,80979965397,34248588056,70601560,104138145,75578563,47793448
20000000,80807401786,33442892378,67836239,103695929,75771769,45519493
30000000,80814530941,33288253598,66716521,103476797,75995760,44608633
40000000,80813642079,33462725031,67162423,103887717,75506613,44528934
50000000,80811670202,33758481457,69887074,103872053,75884554,47358655
60000000,80813895521,33419557709,68707653,104448329,76223709,46261021
70000000,80812689215,34338139504,70838241,103845140,75031807,47590037
75000000,80805430492,34291173840,70262305,104246710,75929650,47402335
100000000,80807512830,33980325027,70468416,104095723,76083597,48035703
110000000,80810097352,34910886612,67562694,103891154,76132755,45354782
120000000,80812117268,34262770274,70542640,103826318,75771299,48084037
130000000,80807935217,34138435152,69225195,103951366,76236803,47029401
140000000,80811844067,33707717672,67969014,103769375,75730536,45593966
150000000,80811832848,33456003873,68237074,104025920,75984876,45701484
